movie_rank,movie_name,movie_year,movie_rating,summary
92,Toy Story 3,2010,8.3,toys mistakenly delivered daycare center instead attic right before andy leaves college its up woody convince other toys they werent abandoned return home
93,Star Wars: Episode VI - Return of the Jedi,1983,8.3,after rescuing han solo jabba hutt rebel alliance attempt destroy second death star while luke struggles help darth vader back dark side
94,Eternal Sunshine of the Spotless Mind,2004,8.3,when relationship turns sour couple undergoes medical procedure have each other erased memories forever
95,Jagten,2012,8.3,teacher lives lonely life all while struggling over his sons custody his life slowly gets better he finds love receives good news his son his new luck about brutally shattered innocent little lie
96,2001: A Space Odyssey,1968,8.3,after uncovering mysterious artifact buried beneath lunar surface spacecraft sent jupiter find its origins spacecraft manned two men supercomputer hal
97,Oppenheimer,2023,8.3,story american scientist j robert oppenheimer his role development atomic bomb
98,Reservoir Dogs,1992,8.3,when simple jewelry heist goes horribly wrong surviving criminals begin suspect one them police informant
99,Ikiru,1952,8.3,bureaucrat tries find meaning his life after he discovers he terminal cancer
100,Lawrence of Arabia,1962,8.3,story te lawrence english officer who successfully united led diverse often warring arab tribes during world war i order fight turks
101,The Apartment,1960,8.3,manhattan insurance clerk tries rise his company letting its executives use his apartment trysts complications romance his own ensue
102,Incendies,2010,8.3,twins journey middle east discover family history fulfill mothers last wishes
103,North by Northwest,1959,8.3,new york city advertising executive goes run after being mistaken government agent group foreign spies falls woman whose loyalties he begins doubt
104,Citizen Kane,1941,8.3,following death publishing tycoon charles foster kane reporters scramble uncover meaning his final utterance rosebud
105,M - Eine Stadt sucht einen M�rder,1931,8.3,when police german city unable catch childmurderer other criminals join manhunt
106,Vertigo,1958,8.3,former san francisco police detective juggles wrestling his personal demons becoming obsessed hauntingly beautiful woman he been hired trail who may deeply disturbed
107,Scarface,1983,8.3,miami determined cuban immigrant takes over drug cartel succumbs greed
108,Double Indemnity,1944,8.3,los angeles insurance representative lets alluring housewife seduce him into scheme insurance fraud murder arouses suspicion his colleague insurance investigator
109,Full Metal Jacket,1987,8.3,pragmatic us marine observes dehumanizing effects vietnam war his fellow recruits brutal boot camp training bloody street fighting hue
110,Le fabuleux destin d'Am�lie Poulain,2001,8.3,despite being caught her imaginative world amelie young waitress decides help people find happiness her quest spread joy leads her journey where she finds true love
111,Heat,1995,8.3,group highend professional thieves start feel heat lapd when they unknowingly leave verbal clue latest heist
112,A Clockwork Orange,1971,8.3,future sadistic gang leader imprisoned volunteers conductaversion experiment doesnt go planned
113,Up,2009,8.3,yearold carl fredricksen travels paradise falls his house equipped balloons inadvertently taking young stowaway
114,To Kill a Mockingbird,1962,8.3,atticus finch widowed lawyer depressionera alabama defends black man against undeserved rape charge tries educate his young children against prejudice
115,Jodaeiye Nader az Simin,2011,8.3,married couple faced difficult decision improve life child moving another country stay iran look after deteriorating parent who alzheimers disease
116,The Sting,1973,8.3,two grifters team up pull off ultimate con
117,Indiana Jones and the Last Crusade,1989,8.2,after his father goes missing while pursuing holy grail indiana jones finds himself up against nazis again stop them obtaining its powers
118,Die Hard,1988,8.2,new york city police officer tries save his estranged wife several others taken hostage terrorists during christmas party nakatomi plaza los angeles
119,Metropolis,1927,8.3,futuristic city sharply divided between working class city planners son citys mastermind falls love workingclass prophet who predicts coming savior mediate differences
120,Taare Zameen Par,2007,8.3,eightyearold boy thought lazy troublemaker until new art teacher patience compassion discover real problem behind his struggles school
121,Snatch,2000,8.2,unscrupulous boxing promoters violent bookmakers russian gangster incompetent amateur robbers supposedly jewish jewelers fight track down priceless stolen diamond
122,Hamilton,2020,8.3,real life one americas foremost founding fathers first secretary treasury alexander hamilton captured live broadway richard rodgers theater original broadway cast
123,L.A. Confidential,1997,8.2,corruption grows s los angeles three policemen one straitlaced one brutal one sleazy investigate series murders own brand justice
124,1917,2019,8.2,april th infantry battalion assembles wage war deep enemy territory two soldiers assigned race against time deliver message stop men walking straight into deadly trap
125,Ladri di biciclette,1948,8.3,postwar italy workingclass mans bicycle stolen endangering his efforts find work he his son set out find
126,Taxi Driver,1976,8.2,mentally unstable veteran works nighttime taxi driver new york city where perceived decadence sleaze fuels his urge violent action
127,Der Untergang,2004,8.2,traudl junge final secretary adolf hitler tells nazi dictators final days his berlin bunker end wwii
128,Dangal,2016,8.3,former wrestler mahavir singh phogat his two wrestler daughters struggle towards glory commonwealth games face societal oppression
129,Per qualche dollaro in pi�,1965,8.2,two bounty hunters same intentions team up track down gang outlaws led psychotic mexican bandit who plotting audacious bank robbery
130,Batman Begins,2005,8.2,after witnessing his parents death bruce learns art fighting confront injustice when he returns gotham batman he must stop secret society intends destroy city
131,The Wolf of Wall Street,2013,8.2,based true story jordan belfort his rise wealthy stockbroker living high life his fall involving crime corruption federal government
132,Some Like It Hot,1959,8.2,after two male musicians witness mob hit they flee state allfemale band disguised women further complications set
133,Green Book,2018,8.2,workingclass italianamerican bouncer becomes driver africanamerican classical pianist tour venues through s american south
134,The Kid,1921,8.2,tramp cares abandoned child events put relationship jeopardy
135,The Father,2020,8.2,man refuses all assistance his daughter he ages he tries make sense his changing circumstances he begins doubt his loved ones his own mind even fabric his reality
136,Judgment at Nuremberg,1961,8.3,american court occupied germany tries four nazis judged war crimes
137,The Truman Show,1998,8.2,insurance salesman discovers his whole life actually reality tv show
138,All About Eve,1950,8.2,seemingly timid secretly ruthless ingnue insinuates herself into lives aging broadway star her circle theater friends
139,Top Gun: Maverick,2022,8.2,after thirty years maverick still pushing envelope top naval aviator must confront ghosts his past when he leads top guns elite graduates mission demands ultimate sacrifice those chosen fly
140,Shutter Island,2010,8.2,teddy daniels chuck aule two us marshals sent asylum remote island order investigate disappearance patient where teddy uncovers shocking truth about place
141,There Will Be Blood,2007,8.2,story family religion hatred oil madness focusing turnofthecentury prospector early days business
142,Casino,1995,8.2,las vegas two best friends casino executive mafia enforcer compete gambling empire fastliving fastloving socialite
143,Jurassic Park,1993,8.2,pragmatic paleontologist touring almost complete theme park island central america tasked protecting couple kids after power failure causes parks cloned dinosaurs run loose
144,Ran,1985,8.2,medieval japan elderly warlord retires handing over his empire his three sons however he vastly underestimates how newfound power corrupt them cause them turn each otherand him
145,The Sixth Sense,1999,8.2,malcolm crowe child psychologist starts treating young boy cole who encounters dead people convinces him help them turn cole helps malcolm reconcile his estranged wife
146,El laberinto del fauno,2006,8.2,falangist spain bookish young stepdaughter sadistic army officer escapes into eerie captivating fantasy world
147,Unforgiven,1992,8.2,retired old west gunslinger william munny reluctantly takes one last job help his old partner ned logan young man schofield kid
148,No Country for Old Men,2007,8.2,violence mayhem ensue after hunter stumbles upon aftermath drug deal gone wrong over two million dollars cash near rio grande
149,A Beautiful Mind,2001,8.2,mathematical genius john nash made astonishing discovery early his career stood brink international acclaim handsome arrogant nash soon found himself harrowing journey selfdiscovery
150,The Thing,1982,8.2,research team antarctica hunted shapeshifting alien assumes appearance its victims
151,Kill Bill: Vol. 1,2003,8.2,after awakening fouryear coma former assassin wreaks vengeance team assassins who betrayed her
152,The Treasure of the Sierra Madre,1948,8.2,two downontheirluck americans searching work s mexico convince old prospector help them mine gold sierra madre mountains
153,Y�jinb�,1961,8.2,crafty ronin comes town divided two criminal gangs decides play them against each other free town
154,Monty Python and the Holy Grail,1975,8.2,king arthur his knights round table embark surreal lowbudget search holy grail encountering many very silly obstacles
155,The Great Escape,1963,8.2,allied prisoners war plan several hundred number escape german camp during world war ii
156,Finding Nemo,2003,8.2,after his son captured great barrier reef taken sydney timid clownfish sets out journey bring him home
157,Prisoners,2013,8.2,when keller dovers daughter her friend go missing he takes matters into his own hands police pursue multiple leads pressure mounts
158,Rash�mon,1950,8.2,rape bride murder her samurai husband recalled perspectives bandit bride samurais ghost woodcutter
159,Hauru no ugoku shiro,2004,8.2,when unconfident young woman cursed old body spiteful witch her only chance breaking spell lies selfindulgent yet insecure young wizard his companions his legged walking castle
160,The Elephant Man,1980,8.2,victorian surgeon rescues heavily disfigured man who mistreated while scraping living sideshow freak behind his monstrous faade revealed person kindness intelligence sophistication
161,Chinatown,1974,8.1,private detective hired expose adulterer s los angeles finds himself caught up web deceit corruption murder
162,Dial M for Murder,1954,8.2,former tennis star arranges murder his adulterous wife
163,Gone with the Wind,1939,8.2,sheltered manipulative southern belle roguish profiteer face off turbulent romance society around them crumbles end slavery rebuilt during civil war reconstruction periods
164,V for Vendetta,2005,8.2,future british dystopian society shadowy freedom fighter known only alias v plots overthrow tyrannical government help young woman
165,"Lock, Stock and Two Smoking Barrels",1998,8.1,eddy persuades his three pals pool money vital poker game against powerful local mobster hatchet harry eddy loses after harry gives him week pay back pounds
166,El secreto de sus ojos,2009,8.2,retired legal counselor writes novel hoping find closure one his past unresolved homicide cases his unreciprocated love his superior both still haunt him decades later
167,Inside Out,2015,8.1,after young riley uprooted her midwest life moved san francisco her emotions joy fear anger disgust sadness conflict how best navigate new city house school
168,Raging Bull,1980,8.1,life boxer jake lamotta whose violence temper led him top ring destroyed his life outside
169,"Three Billboards Outside Ebbing, Missouri",2017,8.1,mother personally challenges local authorities solve her daughters murder when they fail catch culprit
170,Trainspotting,1996,8.1,renton deeply immersed edinburgh drug scene tries clean up get out despite allure drugs influence friends
171,The Bridge on the River Kwai,1957,8.1,british pows forced build railway bridge across river kwai japanese captors occupied burma knowing allied forces planning daring commando raid through jungle destroy
172,Klaus,2019,8.2,simple act kindness always sparks another even frozen faraway place when smeerensburgs new postman jesper befriends toymaker klaus gifts melt ageold feud deliver sleigh full holiday traditions
173,Fargo,1996,8.1,minnesota car salesman jerry lundegaards inept crime falls apart due his his henchmens bungling persistent police work quite pregnant marge gunderson
174,Spider-Man: No Way Home,2021,8.2,spidermans identity now revealed peter asks doctor strange help when spell goes wrong dangerous foes other worlds start appear forcing peter discover truly means spiderman
175,Catch Me If You Can,2002,8.1,barely yet frank skilled forger who passed doctor lawyer pilot fbi agent carl becomes obsessed tracking down con man who only revels pursuit
176,Warrior,2011,8.1,youngest son alcoholic former boxer returns home where hes trained his father competition mixed martial arts tournament path puts fighter collision course his estranged older brother
177,Gran Torino,2008,8.1,after hmong teenager tries steal his prized gran torino disgruntled prejudiced korean war veteran seeks redeem both boy himself
178,Tonari no Totoro,1988,8.1,when two girls move country near ailing mother they have adventures wondrous forest spirits who live nearby
179,Million Dollar Baby,2004,8.1,frankie illtempered old coach reluctantly agrees train aspiring boxer maggie impressed her determination talent he helps her become best two soon form close bond
180,Harry Potter and the Deathly Hallows - Part 2,2011,8.1,harry ron hermione search voldemorts remaining horcruxes effort destroy dark lord final battle rages hogwarts
